# Zhu 2T0C Fig 5(e) -- v1 paper-anchored digitization
# Re-read of fig5e_final_3x.png.
# Vd (V), Id @ Vg=0.4V (uA), Id @ Vg=1.2V (uA), Id @ Vg=2.0V (uA)
# Note: at Vd=0, Id=0 by definition (model boundary).
# The Vg=2V curve saturates near 50-55 uA around Vd=2-3V; the Id-Vg at Vd=1V,
# Vg=2V in the v1 idvg.csv is set to 5.0e-5 A = 50 uA, consistent with the
# saturation region of the same curve.
 0.0,0.0,0.0,0.0
 0.05,0.3,0.8,2.0
 0.1,0.5,1.5,3.5
 0.2,1.0,2.5,6.0
 0.3,1.3,3.5,8.5
 0.5,1.7,5.0,13.0
 0.7,2.0,6.5,17.0
 1.0,2.3,8.0,22.0
 1.3,2.5,9.5,27.0
 1.6,2.7,11.0,32.0
 2.0,3.0,13.0,38.0
 2.3,3.2,14.5,43.0
 2.6,3.4,16.0,48.0
 3.0,3.6,17.0,55.0
